"Date,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude"
"1989-02-01,17.366,0.339,Vinh,Vietnam,18.48N,106.48E"
"1997-06-01,29.711,0.238,Vinh,Vietnam,18.48N,106.48E"
"2005-10-01,25.866,0.222,Vinh,Vietnam,18.48N,106.48E"
"1825-05-01,28.775,1.298,Vinh Long,Vietnam,10.45N,105.55E"
"1847-01-01,25.401,4.41,Vinh Long,Vietnam,10.45N,105.55E"
"1857-01-01,25.006,1.632,Vinh Long,Vietnam,10.45N,105.55E"
"1867-01-01,24.991,1.251,Vinh Long,Vietnam,10.45N,105.55E"
"1798-09-01,13.072,3.079,Voronezh,Russia,52.24N,39.42E"
"1807-01-01,-10.865,3.011,Voronezh,Russia,52.24N,39.42E"
"1815-05-01,11.939,2.438,Voronezh,Russia,52.24N,39.42E"
"1823-09-01,12.341,1.475,Voronezh,Russia,52.24N,39.42E"
"1832-01-01,-10.411,2.386,Voronezh,Russia,52.24N,39.42E"
"1840-05-01,11.639,1.582,Voronezh,Russia,52.24N,39.42E"
"1848-09-01,13.246,1.46,Voronezh,Russia,52.24N,39.42E"
"1857-01-01,-6.654,1.124,Voronezh,Russia,52.24N,39.42E"
"1865-05-01,12.217,1.568,Voronezh,Russia,52.24N,39.42E"
"1873-09-01,10.938,1.043,Voronezh,Russia,52.24N,39.42E"
"2012-10-01,0.13,0.309,Murmansk,Russia,68.31N,34.70E"
"1756-03-01,-4.354,4.665,Murom,Russia,55.45N,42.52E"
"1764-07-01,18.187,3.473,Murom,Russia,55.45N,42.52E"
"1772-11-01,0.764,3.968,Murom,Russia,55.45N,42.52E"
"1781-03-01,-5.155,1.875,Murom,Russia,55.45N,42.52E"
"1789-07-01,21.57,2.423,Murom,Russia,55.45N,42.52E"
"1797-11-01,-4.393,3.064,Murom,Russia,55.45N,42.52E"
"1806-03-01,-5.371,2.797,Murom,Russia,55.45N,42.52E"
"1814-07-01,17.798,2.556,Murom,Russia,55.45N,42.52E"
"1822-11-01,-2.514,3.17,Murom,Russia,55.45N,42.52E"
"1831-03-01,-5.741,4.131,Murom,Russia,55.45N,42.52E"
"2005-04-01,14.49,0.204,Kusatsu,Japan,34.56N,136.22E"
"2013-08-01,28.181,0.275,Kusatsu,Japan,34.56N,136.22E"
"1880-07-01,29.424,1.552,Kusti,Sudan,13.66N,32.20E"
"1888-11-01,27.135,1.239,Kusti,Sudan,13.66N,32.20E"
"1897-03-01,28.175,2.306,Kusti,Sudan,13.66N,32.20E"
"1905-07-01,30.112,0.921,Kusti,Sudan,13.66N,32.20E"
"1913-11-01,25.972,0.726,Kusti,Sudan,13.66N,32.20E"
"1922-03-01,26.407,0.817,Kusti,Sudan,13.66N,32.20E"
"1930-07-01,28.894,0.383,Kusti,Sudan,13.66N,32.20E"
"1938-11-01,27.729,0.597,Kusti,Sudan,13.66N,32.20E"
"1947-03-01,26.944,0.26,Kusti,Sudan,13.66N,32.20E"
"1983-11-01,13.309,0.172,Xiangdong,China,28.13N,113.64E"
"1992-03-01,8.293,0.201,Xiangdong,China,28.13N,113.64E"
"2000-07-01,29.632,0.35,Xiangdong,China,28.13N,113.64E"
"2008-11-01,12.746,0.196,Xiangdong,China,28.13N,113.64E"
"1843-09-01,20.583,1.139,Xiangfan,China,32.95N,112.02E"
"1852-01-01,0.592,2.285,Xiangfan,China,32.95N,112.02E"
"1860-05-01,18.516,1.676,Xiangfan,China,32.95N,112.02E"
"1868-09-01,20.971,1.187,Xiangfan,China,32.95N,112.02E"
"1877-01-01,-0.034,1.931,Xiangfan,China,32.95N,112.02E"
"1885-05-01,20.025,1.306,Xiangfan,China,32.95N,112.02E"
"1958-09-01,28.038,0.322,Vinh Long,Vietnam,10.45N,105.55E"
"1967-01-01,25.12,0.344,Vinh Long,Vietnam,10.45N,105.55E"
"1975-05-01,28.958,0.202,Vinh Long,Vietnam,10.45N,105.55E"
"1983-09-01,27.917,0.167,Vinh Long,Vietnam,10.45N,105.55E"
"1992-01-01,25.811,0.329,Vinh Long,Vietnam,10.45N,105.55E"
"2000-05-01,28.963,0.234,Vinh Long,Vietnam,10.45N,105.55E"
"2008-09-01,27.648,0.235,Vinh Long,Vietnam,10.45N,105.55E"
"1754-08-01,17.371,3.76,Vinnitsa,Ukraine,49.03N,29.39E"
